A,PC,LI_R_MD60,T,TOTAL,MT	16.6 
A,PC,LI_R_MD60,T,TOTAL,NL	13.0 
A,PC,LI_R_MD60,T,TOTAL,NO	11.5 b
A,PC,LI_R_MD60,T,TOTAL,PL	14.0 
A,PC,LI_R_MD60,T,TOTAL,PT	17.0 
A,PC,LI_R_MD60,T,TOTAL,RO	21.1 
A,PC,LI_R_MD60,T,TOTAL,RS	19.9 
A,PC,LI_R_MD60,T,TOTAL,SE	16.1 
A,PC,LI_R_MD60,T,TOTAL,SI	12.7 
A,PC,LI_R_MD60,T,TOTAL,SK	14.3 
A,PC,LI_R_MD60,T,TOTAL,TR	20.7 
A,THS_PER,LI_R_MD60,F,TOTAL,AT	720 
A,THS_PER,LI_R_MD60,F,TOTAL,BE	740 
A,THS_PER,LI_R_MD60,F,TOTAL,BG	713 
A,THS_PER,LI_R_MD60,F,TOTAL,CH	750 
A,THS_PER,LI_R_MD60,F,TOTAL,CY	78 
A,THS_PER,LI_R_MD60,F,TOTAL,CZ	616 
A,THS_PER,LI_R_MD60,F,TOTAL,DE	6417 
A,THS_PER,LI_R_MD60,F,TOTAL,DK	363 
A,THS_PER,LI_R_MD60,F,TOTAL,EA20	30208 
A,THS_PER,LI_R_MD60,F,TOTAL,EE	178 
A,THS_PER,LI_R_MD60,F,TOTAL,EL	1038 
A,THS_PER,LI_R_MD60,F,TOTAL,ES	5033 
A,THS_PER,LI_R_MD60,F,TOTAL,EU27_2020	38277 
A,THS_PER,LI_R_MD60,F,TOTAL,FI	344 
A,THS_PER,LI_R_MD60,F,TOTAL,FR	5582 
A,THS_PER,LI_R_MD60,F,TOTAL,HR	408 b
A,THS_PER,LI_R_MD60,F,TOTAL,HU	717 
A,THS_PER,LI_R_MD60,F,TOTAL,IE	317 
A,THS_PER,LI_R_MD60,F,TOTAL,IT	6006 
A,THS_PER,LI_R_MD60,F,TOTAL,LT	340 
A,THS_PER,LI_R_MD60,F,TOTAL,LU	65 
A,THS_PER,LI_R_MD60,F,TOTAL,LV	253 
A,THS_PER,LI_R_MD60,F,TOTAL,MK	208 
A,THS_PER,LI_R_MD60,F,TOTAL,MT	44 
A,THS_PER,LI_R_MD60,F,TOTAL,NL	1160 
A,THS_PER,LI_R_MD60,F,TOTAL,NO	333 b
A,THS_PER,LI_R_MD60,F,TOTAL,PL	2748 
A,THS_PER,LI_R_MD60,F,TOTAL,PT	969 
A,THS_PER,LI_R_MD60,F,TOTAL,RO	2024 
A,THS_PER,LI_R_MD60,F,TOTAL,RS	684 
A,THS_PER,LI_R_MD60,F,TOTAL,SE	887 
A,THS_PER,LI_R_MD60,F,TOTAL,SI	137 
A,THS_PER,LI_R_MD60,F,TOTAL,SK	379 
A,THS_PER,LI_R_MD60,F,TOTAL,TR	9028 
A,THS_PER,LI_R_MD60,M,TOTAL,AT	618 
A,THS_PER,LI_R_MD60,M,TOTAL,BE	698 
A,THS_PER,LI_R_MD60,M,TOTAL,BG	613 
A,THS_PER,LI_R_MD60,M,TOTAL,CH	681 
A,THS_PER,LI_R_MD60,M,TOTAL,CY	62 
A,THS_PER,LI_R_MD60,M,TOTAL,CZ	404 
A,THS_PER,LI_R_MD60,M,TOTAL,DE	5686 
A,THS_PER,LI_R_MD60,M,TOTAL,DK	329 
A,THS_PER,LI_R_MD60,M,TOTAL,EA20	26245 
A,THS_PER,LI_R_MD60,M,TOTAL,EE	126 
A,THS_PER,LI_R_MD60,M,TOTAL,EL	892 
A,THS_PER,LI_R_MD60,M,TOTAL,ES	4535 
A,THS_PER,LI_R_MD60,M,TOTAL,EU27_2020	33320 
A,THS_PER,LI_R_MD60,M,TOTAL,FI	322 
A,THS_PER,LI_R_MD60,M,TOTAL,FR	4625 
A,THS_PER,LI_R_MD60,M,TOTAL,HR	310 b
A,THS_PER,LI_R_MD60,M,TOTAL,HU	587 
A,THS_PER,LI_R_MD60,M,TOTAL,IE	301 
A,THS_PER,LI_R_MD60,M,TOTAL,IT	5114 
A,THS_PER,LI_R_MD60,M,TOTAL,LT	249 
A,THS_PER,LI_R_MD60,M,TOTAL,LU	57 
A,THS_PER,LI_R_MD60,M,TOTAL,LV	166 
A,THS_PER,LI_R_MD60,M,TOTAL,MK	199 
A,THS_PER,LI_R_MD60,M,TOTAL,MT	44 
A,THS_PER,LI_R_MD60,M,TOTAL,NL	1114 
A,THS_PER,LI_R_MD60,M,TOTAL,NO	290 b
A,THS_PER,LI_R_MD60,M,TOTAL,PL	2388 
A,THS_PER,LI_R_MD60,M,TOTAL,PT	812 
A,THS_PER,LI_R_MD60,M,TOTAL,RO	1945 
A,THS_PER,LI_R_MD60,M,TOTAL,RS	634 
A,THS_PER,LI_R_MD60,M,TOTAL,SE	809 
A,THS_PER,LI_R_MD60,M,TOTAL,SI	127 
A,THS_PER,LI_R_MD60,M,TOTAL,SK	387 
A,THS_PER,LI_R_MD60,M,TOTAL,TR	8402 
A,THS_PER,LI_R_MD60,T,TOTAL,AT	1338 
A,THS_PER,LI_R_MD60,T,TOTAL,BE	1438 
A,THS_PER,LI_R_MD60,T,TOTAL,BG	1326 
A,THS_PER,LI_R_MD60,T,TOTAL,CH	1431 
A,THS_PER,LI_R_MD60,T,TOTAL,CY	140 
A,THS_PER,LI_R_MD60,T,TOTAL,CZ	1021 
A,THS_PER,LI_R_MD60,T,TOTAL,DE	12102 
A,THS_PER,LI_R_MD60,T,TOTAL,DK	692 
A,THS_PER,LI_R_MD60,T,TOTAL,EA20	56453 
A,THS_PER,LI_R_MD60,T,TOTAL,EE	304 
A,THS_PER,LI_R_MD60,T,TOTAL,EL	1930 
A,THS_PER,LI_R_MD60,T,TOTAL,ES	9567 
